feature,importance
home_season_points_per_game,0.3190001536972862
away_season_points_per_game,0.3182099123720363
home_season_goals_for,0.10144954145530127
away_season_goals_for,0.0969942251681838
home_season_goals_against,0.024090547869753502
home_matches_played,0.022522381550255748
away_form_points_5,0.017991507136727068
away_season_win_rate,0.016337327912107433
away_season_goals_against,0.015034189430923597
away_matches_played,0.011657360362211138
home_form_points_5,0.010101876933972265
home_goals_against_5,0.009981547883025712
away_goals_for_5,0.00897232552523987
home_season_win_rate,0.008922627459737304
away_goals_against_5,0.007429268517024549
home_goals_for_5,0.007321086531352394
away_win_rate_5,0.003984120194861902
home_win_rate_5,0.0
